1.0 5.0 4.0
1.0 6.0 3.5
1.0 12.0 4.0
3.0 6.0 0.5
3.0 22.0 2.0
3.0 26.0 1.0
3.0 39.0 4.0
3.0 45.0 2.5
3.0 47.0 2.5
3.0 48.0 4.0
3.0 52.0 4.0
3.0 55.0 2.5
3.0 59.0 4.0
3.0 61.0 0.5
3.0 67.0 4.0
3.0 68.0 4.0
3.0 71.0 4.0
3.0 72.0 2.5
3.0 82.0 3.5
3.0 84.0 3.5
3.0 88.0 2.5
3.0 98.0 2.5
3.0 101.0 3.0
3.0 104.0 2.0
3.0 113.0 1.0
3.0 115.0 4.0
3.0 126.0 4.0
3.0 129.0 4.0
3.0 133.0 3.5
3.0 138.0 1.5
3.0 145.0 4.0
3.0 148.0 3.5
3.0 150.0 2.0
3.0 162.0 4.0
3.0 163.0 3.0
3.0 166.0 4.0
3.0 182.0 3.0
3.0 188.0 4.0
3.0 194.0 3.5
3.0 196.0 1.5
3.0 200.0 1.0
6.0 210.0 4.0
7.0 3.0 0.5
7.0 215.0 3.5
8.0 217.0 4.0
11.0 219.0 3.5
12.0 3.0 3.0
12.0 12.0 4.0
13.0 222.0 4.0
13.0 228.0 4.0
13.0 230.0 3.0
14.0 7.0 3.5
14.0 235.0 0.5
16.0 1.0 3.0
16.0 207.0 4.0
19.0 2.0 4.0
20.0 207.0 2.0
21.0 5.0 4.0
21.0 210.0 2.5
21.0 214.0 4.0
21.0 217.0 3.0
21.0 219.0 4.0
21.0 246.0 4.0
21.0 251.0 4.0
21.0 252.0 3.0
21.0 253.0 3.5
22.0 2.0 4.0
22.0 4.0 4.0
22.0 7.0 4.0
23.0 207.0 3.0
24.0 258.0 4.0
25.0 7.0 3.5
25.0 8.0 3.0
25.0 10.0 2.0
25.0 11.0 4.0
25.0 214.0 2.0
25.0 220.0 0.5
25.0 243.0 3.5
25.0 244.0 3.5
25.0 256.0 3.5
26.0 1.0 3.5
26.0 11.0 3.0
27.0 5.0 2.5
27.0 213.0 4.0
27.0 215.0 0.5
27.0 217.0 3.5
27.0 263.0 2.0
28.0 2.0 3.0
28.0 9.0 3.5
28.0 13.0 3.0
28.0 207.0 2.5
28.0 215.0 3.0
28.0 217.0 2.0
28.0 236.0 4.0
28.0 239.0 3.0
28.0 244.0 2.0
28.0 257.0 3.0
29.0 59.0 0.5
29.0 264.0 3.0
29.0 271.0 3.5
29.0 272.0 3.5
29.0 281.0 3.5
29.0 287.0 3.0
29.0 290.0 3.5
29.0 291.0 4.0
29.0 301.0 2.5
29.0 307.0 4.0
30.0 3.0 4.0
30.0 6.0 1.0
30.0 7.0 0.5
30.0 12.0 4.0
30.0 212.0 0.5
30.0 214.0 1.0
30.0 233.0 0.5
30.0 246.0 0.5
30.0 251.0 2.5
30.0 252.0 4.0
30.0 255.0 0.5
31.0 1.0 3.5
31.0 11.0 4.0
32.0 12.0 2.5
32.0 308.0 4.0
33.0 213.0 3.0
33.0 257.0 3.0
34.0 4.0 2.0
34.0 10.0 4.0
34.0 12.0 2.0
35.0 219.0 2.5
36.0 2.0 4.0
36.0 9.0 4.0
36.0 10.0 4.0
36.0 13.0 4.0
36.0 216.0 3.0
36.0 241.0 3.5
37.0 11.0 3.5
37.0 211.0 4.0
37.0 214.0 3.5
37.0 215.0 4.0
37.0 217.0 3.5
37.0 252.0 3.5
37.0 253.0 4.0
37.0 255.0 4.0
37.0 257.0 3.5
38.0 2.0 0.5
38.0 11.0 1.5
38.0 13.0 2.0
38.0 84.0 2.0
38.0 212.0 3.0
38.0 215.0 3.0
38.0 233.0 1.0
38.0 246.0 1.0
38.0 255.0 1.0
38.0 256.0 0.5
39.0 5.0 4.0
39.0 11.0 3.0
41.0 10.0 2.0
42.0 212.0 4.0
43.0 3.0 1.5
43.0 11.0 3.0
44.0 207.0 4.0
45.0 216.0 2.0
46.0 5.0 3.5
46.0 250.0 3.5
46.0 254.0 4.0
46.0 255.0 3.5
47.0 13.0 4.0
47.0 235.0 3.5
48.0 11.0 4.0
49.0 11.0 4.0
50.0 6.0 4.0
50.0 7.0 2.5
50.0 121.0 4.0
50.0 215.0 3.5
50.0 241.0 3.0
50.0 251.0 3.5
50.0 252.0 3.0
50.0 255.0 3.5
51.0 319.0 1.0
51.0 320.0 4.0
51.0 324.0 3.5
51.0 332.0 1.5
53.0 10.0 4.0
53.0 12.0 3.5
53.0 13.0 4.0
53.0 206.0 4.0
53.0 212.0 3.0
53.0 213.0 3.5
53.0 241.0 4.0
53.0 251.0 4.0
53.0 252.0 4.0
53.0 257.0 3.5
55.0 3.0 3.0
55.0 13.0 4.0
55.0 17.0 2.5
55.0 216.0 4.0
55.0 220.0 3.0
55.0 255.0 3.5
56.0 1.0 3.0
56.0 3.0 4.0
56.0 13.0 1.5
56.0 121.0 0.5
56.0 215.0 3.0
56.0 236.0 1.5
56.0 335.0 3.5
57.0 2.0 2.5
58.0 340.0 3.0
59.0 243.0 3.0
60.0 13.0 4.0
61.0 1.0 2.5
61.0 5.0 2.0
61.0 8.0 3.0
62.0 7.0 3.0
63.0 2.0 4.0
63.0 299.0 4.0
63.0 346.0 3.5
64.0 6.0 2.5
64.0 7.0 4.0
64.0 11.0 4.0
64.0 17.0 2.5
64.0 215.0 3.5
64.0 220.0 3.0
64.0 243.0 2.5
64.0 250.0 3.5
64.0 255.0 3.5
65.0 207.0 1.5
65.0 220.0 4.0
66.0 7.0 1.5
66.0 235.0 2.0
67.0 5.0 3.5
67.0 11.0 4.0
67.0 211.0 3.0
67.0 235.0 2.5
67.0 241.0 3.0
68.0 1.0 4.0
68.0 3.0 4.0
68.0 210.0 4.0
68.0 214.0 4.0
68.0 215.0 4.0
68.0 216.0 4.0
68.0 220.0 4.0
68.0 241.0 4.0
